tag_id,name
4918,'1163B1'
4917,'1163B2'
4916,'1163C1'
4915,'1163C2'
4914,'1163D'
4913,'1163E'
4912,'1163F'
4911,'1165A'
4910,'1165B'
4909,'1165C'
4908,'1165D'
4907,'1165E'
4906,'1165F1'
4905,'1165F2'
4904,'1166A'
4903,'1166B'
4902,'1166C'
4901,'1166D'
4600,'1166E'
4599,'1166F'
4598,'1167A'
4597,'1167B'
4596,'1167C'
4595,'1167D'
4594,'1167E'
4593,'1167F'
4592,'1167G'
4591,'1168A'
4590,'1168B'
4589,'1168C'
4588,'1168D'
4587,'1168E'
4586,'1169A'
4585,'1169B'
4584,'1170A'
4583,'1170B'
4582,'1170C'
4581,'1170D'
4580,'1170E'
4579,'1170F'
4578,'1170G'
4577,'1170H'
4576,'1170I'
4575,'1172A'
4574,'1172B'
4573,'1172C1'
4572,'1172C2'
4571,'1172D'
4570,'1172E'
4569,'1172F'
4568,'1173A'
4567,'1173B'
4566,'1174A'
4565,'1174B'
4564,'1174C'
4563,'1174D'
4562,'1174E'
4561,'1174F'
4560,'1175A'
4559,'1175B'
4558,'1175C'
4557,'1175D'
4556,'1175E'
4555,'1175F'
4554,'1175G'
4553,'1176A'
4552,'1176B'
4551,'1176C'
4550,'1176D'
4549,'1176E'
4548,'1176F'
4547,'1177A'
4546,'1177B'
4545,'1178A'
4544,'1178B'
4543,'1178C'
4542,'1178D'
4541,'1178E'
4540,'1178F1'
4539,'1178F2'
4538,'1178G'
4537,'1178H'
4536,'1179A'
4535,'1179B'
4534,'1179C'
4533,'1179D'
4532,'1179E'
4531,'1180A'
4530,'1180B'
4529,'1181A'
4528,'1181B'
4527,'1181C'
4526,'1181D'
4525,'1181E1'
4524,'1181E2'
4523,'1182A'
4522,'1182B'
4521,'1182C'
4520,'1182D'
4519,'1182E'
4518,'1182F'
4517,'1183A'
4516,'1183B'
4515,'1183C'
4514,'1183D'
4513,'1183E'
4512,'1183F'
4511,'1183G'
4510,'1183H'
4509,'1184A1'
4508,'1184A2'
4507,'1184A3'
4506,'1184B1'
4505,'1184B2'
4504,'1184B3'
4503,'1184C1'
4502,'1184C2'
4501,'1184C3'
4800,'1184D1'
4799,'1184D2'
4798,'1184E1'
4797,'1184E2'
4796,'1184E3'
4795,'1185A'
4794,'1185B'
4793,'1185C1'
4792,'1185C2'
4791,'1185D'
4790,'1185E'
4789,'1185F'
4788,'1185G1'
4787,'1185G2'
4786,'1186A'
4785,'1186C'
4784,'1186D'
4783,'1186E'
4782,'1186F'
4781,'1187A'
4780,'1187B'
4779,'1187C'
4778,'1187D'
4777,'1187E'
4776,'1187F'
4775,'1187G'
